gene_name.84	intercept_LCL	intercept_err_LCL	x_coeff_LCL	x_coeff_err_LCL	x_pval_LCL	x_adj_pval_LCL	y_coeff_LCL	y_coeff_err_LCL	y_pval_LCL	y_adj_pval_LCL	adj.r.sq_LCL	reg_pval_LCL	reg_adj_pval_LCL	deltaEx_LCL	deltaEx_err_LCL	deltaEx_95_CI_lo_LCL	deltaEx_95_CI_hi_LCL	deltaEy_LCL	deltaEy_err_LCL	deltaEy_95_CI_lo_LCL	deltaEy_95_CI_hi_LCL	intercept_Fib	intercept_err_Fib	x_coeff_Fib	x_coeff_err_Fib	x_pval_Fib	x_adj_pval_Fib	y_coeff_Fib	y_coeff_err_Fib	y_pval_Fib	y_adj_pval_Fib	adj.r.sq_Fib	reg_pval_Fib	reg_adj_pval_Fib	deltaEx_Fib	deltaEx_err_Fib	deltaEx_95_CI_lo_Fib	deltaEx_95_CI_hi_Fib	deltaEy_Fib	deltaEy_err_Fib	deltaEy_95_CI_lo_Fib	deltaEy_95_CI_hi_Fib	Gene	gene_id.84	gene_type.84	chr	start	stop.84	loc.84	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107	Human_NPY	region
ABCB7	3861.64104516871	103.756129163334	-172.083546866388	56.2303559901202	0.00287410386609951	0.0109215946911781	-157.344175314458	70.7532328200996	0.0285282329263749	0.146879289548654	0.258683380428119	2.09795638676298e-05	3.69084919893488e-05	-0.0445622844934492	0.0146104016704987	-0.0731986717676265	-0.0159258972192718	-0.0407454171617817	0.0183547411680821	-0.0767207098512226	-0.00477012447234083	965.136112236124	22.4450400417146	9.63884266059801	18.6038635822741	0.605653083657831	0.803692028472931	15.0905784140253	18.6227069770927	0.419886814066675	0.725259042478802	0.328316551986472	3.91261277879256e-07	9.1880457389623e-07	0.00998702933026283	0.0192772954538565	-0.0277964697592959	0.0477705284198216	0.0156356996932401	0.0192988462527492	-0.0221900389621484	0.0534614383486286	ABCB7	ENSG00000131269	protein_coding	chrX	75053172	75156732	chrX:75053172	protein_coding	chrX	75051048	75156732	chrX:75051048	ENSG00000131269	FALSE	NPX
ABCD1	434.718507923999	19.8596262952862	34.7870376873127	11.2390181907561	0.0025843526041469	0.00991973726844265	27.6469519702211	14.1417719436032	0.0535240127379134	0.228529492588844	0.202139810848237	0.000368545700591873	0.000540723421717806	0.0800219844640118	0.0261107348607028	0.0288449441370344	0.131199024790989	0.0635973658040217	0.0326603552197252	-0.000416930426639636	0.127611662034683	935.236088305966	45.2473822698709	65.1074960380906	40.96074307756	0.1154522617763	0.293042358250045	50.8743768859661	41.0022312044999	0.217915019868166	0.540201597580981	0.193502243830419	0.000495794733380191	0.000777821255027751	0.0696161074750897	0.0439265368562781	-0.0164799047632155	0.155712119713395	0.0543973628927399	0.0439205047601188	-0.031686826437093	0.140481552222573	ABCD1	ENSG00000101986	protein_coding	chrX	153724868	153744762	chrX:153724868	protein_coding	chrX	153724856	153744755	chrX:153724856	ENSG00000101986	FALSE	NPX
ACOT9	2435.59208196775	90.3863836618556	-86.1356323194406	54.0186216988874	0.114133584556123	0.212601775153562	-43.1118383633421	67.9702635770934	0.52742578872478	0.793996166061595	0.0612838571071916	0.0953150788893709	0.102896960164662	-0.0353653770502696	0.0222176435981674	-0.0789119585026777	0.00818120440213857	-0.0177007630639493	0.027914810148661	-0.0724137909553249	0.0370122648274263	3111.43716420741	93.7056913002379	56.8100989649076	86.9962496052514	0.515409517352865	0.763975809409566	-17.5522094394581	87.084365961932	0.840720199620261	0.952360551331353	0.147165648760157	0.00376744593111451	0.00521454436823135	0.0182584754140067	0.02796555656827	-0.0365540154598025	0.0730709662878158	-0.005641190393099	0.0279889857054685	-0.0604996023758173	0.0492172215896193	ACOT9	ENSG00000123130	protein_coding	chrX	23702253	23766475	chrX:23702253	protein_coding	chrX	23701055	23766475	chrX:23701055	ENSG00000123130	FALSE	NPX
ACSL4	12130.3698485709	550.577484151925	8.02107195613289	290.423185145534	0.978024308982433	0.980604848056266	-142.396738097416	365.432138444353	0.697655219080554	0.907907476885652	0.268051013436064	1.260891218072e-05	2.32591583916194e-05	0.00066123886215043	0.0239418432379805	-0.0462647738842913	0.0475872516085922	-0.0117388620359496	0.0301301026485753	-0.0707938632271572	0.0473161391552581	9916.97341886461	413.21035612124	170.170494606924	326.190386194935	0.603167211419372	0.803692028472931	-476.124714287381	326.520776396193	0.148272994613982	0.447851261747401	0.401871773944577	3.35738552614027e-09	1.03190231612252e-08	0.0171595190810148	0.0328999007357157	-0.047324286360988	0.0816433245230177	-0.0480110911038312	0.0329861626691312	-0.112663969935328	0.016641787727666	ACSL4	ENSG00000068366	protein_coding	chrX	109624244	109733403	chrX:109624244	protein_coding	chrX	109624244	109733403	chrX:109624244	ENSG00000068366	FALSE	NPX
AFF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	979.714388974005	100.635710191381	67.5808697412295	98.1526688734779	0.492891311457368	0.748577674184883	115.696345812739	98.2520852922184	0.242082211141166	0.554526832258464	0.055679387625767	0.103896297906044	0.117692825270262	0.0689801747343966	0.100435235371095	-0.12787288659295	0.265833236061743	0.118091912413271	0.101017417061798	-0.0799022250278536	0.316086049854395	AFF2	ENSG00000155966	protein_coding	chrX	148500619	149000663	chrX:148500619	protein_coding	chrX	148500617	149000663	chrX:148500617	ENSG00000155966	FALSE	NPX
AIFM1	5055.14160006929	181.10443373902	-197.317797980284	93.2271708098101	0.0369137909308316	0.0935149370247733	-20.6581880591646	117.305387905149	0.860585490665284	0.968529553044199	0.306218618265128	1.42733907351794e-06	3.19052263492244e-06	-0.0390330901863519	0.018494990724635	-0.0752832720066364	-0.00278290836606739	-0.00408656961436679	0.0232056254495031	-0.0495695954953929	0.0413964562666593	2010.4600621216	64.4046927495293	53.0501207872105	55.4472445522413	0.341247653405556	0.598049376243612	-68.9342567694789	55.5034056994182	0.217469788103945	0.540201597580981	0.271296745944003	1.01260146720796e-05	2.01555911091871e-05	0.0263870552749144	0.0275923324404471	-0.027693916308362	0.0804680268581908	-0.0342878021146731	0.0276291579859764	-0.0884409517671869	0.0198653475378407	AIFM1	ENSG00000156709	protein_coding	chrX	130129362	130165887	chrX:130129362	protein_coding	chrX	130124666	130165879	chrX:130124666	ENSG00000156709	FALSE	NPX
AKAP17A	2613.71864834705	263.006686476307	2400.03654372405	122.206922486714	3.24873234282104e-35	1.54314786284e-33	2497.5553524661	153.769875482373	3.65639992532879e-29	6.9471598581247e-27	0.861799945995969	1.98537808812295e-38	1.0777766764096e-36	0.918245942516373	0.103555217817769	0.715277715593546	1.1212141694392	0.95555631209411	0.112723752307381	0.734617757571644	1.17649486661658	1004.43501884449	104.722913841398	692.318064198138	57.1373376152585	1.3093537562141e-20	4.97554427361357e-19	703.681606590405	57.1952106160365	5.52747318750789e-21	7.70161264126099e-19	0.824209749177029	2.36873323172023e-32	9.00118628053686e-31	0.689261177885441	0.0916523895579372	0.509622494351884	0.868899861418998	0.700574545280117	0.0926155486435933	0.519048069938674	0.88210102062156	AKAP17A	ENSG00000197976	protein_coding	chrX	1591593	1602514	chrX:1591593	protein_coding	chrX	1591604	1602520	chrX:1591604	ENSG00000197976	FALSE	PAR1
ALG13	1659.29499938149	80.0098386483861	297.73579301091	44.5851733476058	1.62661268789583e-09	1.7169800594456e-08	-29.9413410920858	56.1003944336029	0.59478878304307	0.840222072700248	0.341105671900984	1.67346212393305e-07	4.19219587945992e-07	0.179435117397384	0.0282286202834322	0.124107021641857	0.234763213152911	-0.0180446159985093	0.0338209714562241	-0.0843337200527085	0.0482444880556898	1326.87408056823	40.9641563185142	145.760272818357	34.8882766572611	6.79702021067284e-05	0.00056823088961225	-80.4056288743061	34.9236141326563	0.0236231292308375	0.16736386472017	0.381504272241737	1.34266180216131e-08	3.71677240598296e-08	0.109852377820159	0.0265114025855941	0.0578900287523942	0.161814726887923	-0.060597783958424	0.0263866214368708	-0.112315561974691	-0.00888000594215714	ALG13	ENSG00000101901	protein_coding	chrX	111665811	111760649	chrX:111665811	protein_coding	chrX	111665811	111760649	chrX:111665811	ENSG00000101901	FALSE	NPX
ALG13-AS1	13.8848114960383	2.64264319390132	1.39121016412834	1.33736720275087	0.30085920827915	0.446587887289363	2.35012571087415	1.68277528029207	0.165795087020998	0.46157206793467	0.30848197214046	1.24763819751334e-06	2.85603924731969e-06	0.100196546746443	0.0981883943625629	-0.0922527062041805	0.292645799697066	0.16925874085829	0.125403710417897	-0.0765325315607886	0.415050013277369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALG13-AS1	ENSG00000229487	antisense	chrX	111706649	111711101	chrX:111706649	lncRNA	chrX	111706649	111711101	chrX:111706649	ENSG00000229487	NA	NPX
AMER1	985.971181997314	42.200860364561	44.6887875205915	24.7322718428569	0.0739432367964773	0.156974469176879	7.05003260233645	31.1199912761553	0.821265450604349	0.962756310542852	0.114278448744256	0.015638587656746	0.0183983384197012	0.0453246386269262	0.0251590771651144	-0.00398715261669806	0.0946364298705504	0.00715034346952714	0.0315642634911628	-0.054715612973152	0.0690162999122063	382.191720096829	15.0931104081799	32.7477310830175	11.3784617177764	0.00499766185809603	0.0254758860571237	39.5230852286181	11.3899866811599	0.000801082164542317	0.0133940937911475	0.520582610575279	2.96593958590832e-13	1.58943941911497e-12	0.0856840411789162	0.0299632826454085	0.0269560071939155	0.144412075163917	0.103411673122078	0.0300802699217696	0.0444543440754099	0.162369002168747	AMER1	ENSG00000184675	protein_coding	chrX	64185117	64205744	chrX:64185117	protein_coding	chrX	64185117	64205708	chrX:64185117	ENSG00000184675	FALSE	NPX
